Fecha,PET
10/02/2006,42.7481
18/02/2006,50.389
26/02/2006,49.8773
06/03/2006,58.5987
14/03/2006,55.9282
22/03/2006,47.4024
30/03/2006,61.4993
07/04/2006,60.09
15/04/2006,62.8856
23/04/2006,59.0245
01/05/2006,53.5139
09/05/2006,52.8712
17/05/2006,54.9569
25/05/2006,46.5438
02/06/2006,44.4741
10/06/2006,60.0888
18/06/2006,56.3344
26/06/2006,45.5751
04/07/2006,47.2926
12/07/2006,50.0636
20/07/2006,33.7457
28/07/2006,35.9054
05/08/2006,41.0795
13/08/2006,50.2027
21/08/2006,42.9095
29/08/2006,39.4413
06/09/2006,43.0684
14/09/2006,40.8768
22/09/2006,43.6286
30/09/2006,36.0589
08/10/2006,41.153
16/10/2006,38.2661
24/10/2006,41.1455
01/11/2006,31.9845
09/11/2006,28.0728
17/11/2006,32.4101
25/11/2006,37.7493
03/12/2006,29.5078
11/12/2006,36.5406
19/12/2006,33.734
27/12/2006,23.422
01/01/2007,31.9341
09/01/2007,36.1803
17/01/2007,36.609
25/01/2007,33.7815
02/02/2007,33.0158
10/02/2007,46.1566
18/02/2007,51.8433
26/02/2007,57.6953
06/03/2007,37.5748
14/03/2007,58.2009
22/03/2007,50.6018
30/03/2007,47.3374
07/04/2007,59.4256
15/04/2007,59.2049
23/04/2007,51.2428
01/05/2007,53.7314
09/05/2007,53.724
17/05/2007,47.7646
25/05/2007,53.1339
02/06/2007,52.0434
10/06/2007,47.7843
18/06/2007,37.8371
26/06/2007,35.6629
04/07/2007,52.0644
12/07/2007,43.6763
20/07/2007,36.2674
28/07/2007,48.1495
05/08/2007,48.9114
13/08/2007,44.5638
21/08/2007,33.5649
29/08/2007,33.6685
06/09/2007,37.5567
14/09/2007,49.5087
22/09/2007,43.3673
30/09/2007,43.9566
08/10/2007,44.076
16/10/2007,35.4115
24/10/2007,37.3717
01/11/2007,38.1037
09/11/2007,37.843
17/11/2007,27.4892
25/11/2007,32.7633
03/12/2007,32.9828
11/12/2007,36.0663
19/12/2007,35.8703
27/12/2007,22.5395
01/01/2008,47.8399
09/01/2008,34.2923
17/01/2008,35.2399
25/01/2008,39.7716
02/02/2008,46.9397
10/02/2008,43.2085
18/02/2008,55.0693
26/02/2008,47.9785
05/03/2008,52.408
13/03/2008,58.7509
21/03/2008,52.4567
06/04/2008,62.5519
14/04/2008,52.1625
22/04/2008,49.9098
30/04/2008,53.7084
08/05/2008,52.6402
16/05/2008,45.9521
24/05/2008,57.9862
01/06/2008,46.8461
09/06/2008,28.7699
17/06/2008,49.4971
25/06/2008,39.725
03/07/2008,24.6285
11/07/2008,51.5127
19/07/2008,49.0426
27/07/2008,42.936
04/08/2008,51.0589
12/08/2008,43.5222
20/08/2008,33.4192
28/08/2008,43.9399
05/09/2008,37.4703
13/09/2008,23.4097
21/09/2008,34.2966
29/09/2008,43.7972
07/10/2008,36.0604
15/10/2008,37.0646
23/10/2008,34.0534
31/10/2008,39.645
08/11/2008,38.6701
16/11/2008,30.9838
24/11/2008,35.8916
