Fecha,Prec
2000-01-01,2.3242672499779298
2000-02-01,7.178984966131818
2000-03-01,9.821827279110659
2000-04-01,17.024988437308682
2000-05-01,87.79441661707136
2000-06-01,139.79539386112313
2000-07-01,98.93424737995461
2000-08-01,126.93428130468324
2000-09-01,83.78736510741683
2000-10-01,44.44951483660669
2000-11-01,15.108253378004298
2000-12-01,6.749703934747478
2001-01-01,6.092598467509786
2001-02-01,9.60572763617564
2001-03-01,9.12224288419018
2001-04-01,35.92175330143744
2001-05-01,70.97345734764336
2001-06-01,140.8859940139785
2001-07-01,145.07110593772958
2001-08-01,119.3436933011478
2001-09-01,131.33716759549867
2001-10-01,45.91106548414344
2001-11-01,9.615786924378368
2001-12-01,8.738291005329973
2002-01-01,7.0510524612458925
2002-02-01,6.831414569548478
2002-03-01,8.466053618104727
2002-04-01,32.17300335556385
2002-05-01,28.849690669683646
2002-06-01,91.61812046340349
2002-07-01,141.01451502907622
2002-08-01,105.41474135483297
2002-09-01,175.1665165832485
2002-10-01,81.14411089743251
2002-11-01,27.747012235157243
2002-12-01,4.302004582779542
2003-01-01,4.122028807694388
2003-02-01,1.775632904092155
2003-03-01,9.45940656186864
2003-04-01,26.499434402225305
2003-05-01,43.998597200840884
2003-06-01,191.12878306779558
2003-07-01,120.39233983968657
2003-08-01,139.91968377577206
2003-09-01,159.57142827526303
2003-10-01,67.8152993294607
2003-11-01,12.555532182221105
2003-12-01,4.867620301606106
2004-01-01,14.643960253222364
2004-02-01,2.825332627528595
2004-03-01,17.431784361708143
2004-04-01,43.96744151575687
2004-05-01,81.88632419280356
2004-06-01,158.02564974203258
2004-07-01,124.31384760401933
2004-08-01,121.63789019234241
2004-09-01,141.11863275916792
2004-10-01,60.42461503793035
2004-11-01,11.422664333303487
2004-12-01,3.946573092726396
2005-01-01,3.829140169135611
2005-02-01,6.909171639480352
2005-03-01,8.502385473913032
2005-04-01,19.76458415800109
2005-05-01,32.65559983859795
2005-06-01,56.11759710927011
2005-07-01,113.84625025604188
2005-08-01,121.21434835568144
2005-09-01,65.8897512142706
2005-10-01,74.72266740553255
2005-11-01,12.32940199235515
2005-12-01,5.932384490022935
2006-01-01,8.187233508677181
2006-02-01,3.4883724814326884
2006-03-01,17.526472258941862
2006-04-01,29.773055480651998
2006-05-01,88.39532862361531
2006-06-01,81.67336737874247
2006-07-01,127.39218853289123
2006-08-01,159.8293187659146
2006-09-01,130.3747028098137
2006-10-01,70.13319866004211
2006-11-01,36.225020787923974
2006-12-01,2.6016717522335546
2007-01-01,9.493998234358287
2007-02-01,13.729017048158225
2007-03-01,19.070975969515942
2007-04-01,42.57165300173231
2007-05-01,53.13259832118458
2007-06-01,111.17002525785335
2007-07-01,135.4607716488411
2007-08-01,147.54903667761587
2007-09-01,128.2658403804011
2007-10-01,45.13624638319519
2007-11-01,12.057743713147103
2007-12-01,4.197791093176644
2008-01-01,3.276866691316382
2008-02-01,5.979420526258207
2008-03-01,4.929669861318187
2008-04-01,29.679325019713875
2008-05-01,42.249248064622584
2008-06-01,122.14392119420339
2008-07-01,149.21626540104756
2008-08-01,117.16261681450992
2008-09-01,97.75424096385426
2008-10-01,30.327690244525623
2008-11-01,4.255550030426564
2008-12-01,1.4171407054759824
2009-01-01,8.134472728112456
2009-02-01,8.853666573683308
2009-03-01,8.573730082302362
2009-04-01,11.272156479786192
2009-05-01,43.20005629304393
2009-06-01,73.95716381438122
2009-07-01,92.96021167743983
2009-08-01,89.59909429277688
2009-09-01,168.8081258546503
2009-10-01,75.00856091663437
2009-11-01,5.633801668344818
2009-12-01,6.789755969763581
2010-01-01,17.85542814955323
2010-02-01,21.956986332062925
2010-03-01,5.227448278677687
2010-04-01,24.139105717803602
2010-05-01,24.609712998834237
2010-06-01,65.8092092171478
2010-07-01,196.60570923109728
2010-08-01,120.55261970335364
2010-09-01,88.28314886227251
2010-10-01,15.026147151637737
2010-11-01,6.023892133842981
2010-12-01,1.2817622430658127
2011-01-01,3.5381981026159224
2011-02-01,1.468031598449034
2011-03-01,6.490296448433519
2011-04-01,31.643002204693875
2011-05-01,34.596481488778636
2011-06-01,100.08775837048044
2011-07-01,198.54305831630845
2011-08-01,103.82791890783338
2011-09-01,62.320152015569946
2011-10-01,50.22363171314387
2011-11-01,17.717747505039615
2011-12-01,2.832554381207848
2012-01-01,7.084063035005716
2012-02-01,25.504457245609554
2012-03-01,16.945590265917467
2012-04-01,17.985768115895866
2012-05-01,30.71866527554268
2012-06-01,97.9655843751677
2012-07-01,137.10930587132583
2012-08-01,127.03655529682956
2012-09-01,74.16264894423516
2012-10-01,23.835064694390432
2012-11-01,11.88730436527132
2012-12-01,2.122165968392444
2013-01-01,7.35937539137535
2013-02-01,1.7542472989058777
2013-03-01,3.3437690340198283
2013-04-01,21.00020157772024
2013-05-01,54.15059231614761
2013-06-01,101.01374485320082
2013-07-01,122.58738800419086
2013-08-01,110.06471531657635
2013-09-01,178.79632724135075
2013-10-01,75.39776705900148
2013-11-01,33.29829212980059
2013-12-01,5.33943339788528
2014-01-01,4.036245941307723
2014-02-01,1.6872962925020256
2014-03-01,8.269432417955286
2014-04-01,27.68774830943763
2014-05-01,79.2964342976407
2014-06-01,144.4377083242635
2014-07-01,110.6567217808807
2014-08-01,102.95265036212318
2014-09-01,119.28079698000558
2014-10-01,81.04767914291963
2014-11-01,13.993696963004403
2014-12-01,11.87446326500015
2015-01-01,7.83524568352882
2015-02-01,5.176467459411711
2015-03-01,18.957457330691714
2015-04-01,31.029214609821544
2015-05-01,111.58821504715243
